col1_query_en,col2_conflict_en,col3_entail1_en,col4_entail2_en,col5_entail3_en,col6_query_atoms,col7_conflict_atoms,col8_entail1_atoms,col9_entail2_atoms,col10_entail3_atoms,col11_query_negations
"On-site General Commander: For Level II response activation, the head of the Passenger Service Department serves as the on-site general commander. Before the on-site general commander arrives at the scene, the station master or station duty master (the highest-ranking person on-site) shall assume the role.","On-site General Commander: For Level II response activation, the head of the Passenger Service Department serves as the on-site general commander. Before the on-site general commander arrives at the scene, the station master, station duty master (the highest-ranking person on-site), Ticketing Center head, or ACC system engineer (the highest-ranking person on-site) shall assume the role.","On-site General Commander: For Level II response activation, the head of the Passenger Service Department serves as the on-site general commander. Before the on-site general commander arrives at the scene, the station master or station duty master (the highest-ranking person on-site) shall assume the role.","When a Level II response is activated, if the emergency general commander has not arrived, the duty director shall exercise command authority and hand it over upon arrival.","If multiple stations experience different levels of AFC system large-scale failures, a Level II response shall be activated according to the 'higher rather than lower' principle.","['For Level II response activation, the head of the Passenger Service Department serves as the on-site general commander.', 'Before the on-site general commander arrives, the station master or station duty master (the highest-ranking person on-site) assumes the role.']","['For Level II response activation, the head of the Passenger Service Department serves as the on-site general commander.', 'Before the on-site general commander arrives, the station master or station duty master assumes the role.', 'The Ticketing Center head or ACC system engineer can also assume the command role before the general commander arrives.']","['For Level II response activation, the head of the Passenger Service Department serves as the on-site general commander.', 'Before the on-site general commander arrives, the station master or station duty master (the highest-ranking person on-site) assumes the role.']","['If the emergency general commander is absent during a Level II response, the duty director exercises command authority.', 'Command authority is handed over once the emergency general commander arrives.']","['A Level II response is activated if multiple stations have AFC failures of different levels.', 'The activation follows the principle of choosing the highest applicable response level.']","[['For Level II response activation, the head of the Maintenance Department serves as the on-site general commander.', 'The head of the Passenger Service Department is prohibited from serving as the on-site general commander for Level II responses.', 'The head of the Passenger Service Department only serves as the on-site general commander for Level III responses, not Level II.'], ['Before the on-site general commander arrives, the role is assumed by the Dispatcher rather than the station master or station duty master.', 'The station master and station duty master are strictly forbidden from assuming the role of commander before the primary commander arrives.', 'The station master only assumes the role if the station duty master is also absent.']]"
"Single-station testing: After passing the simulation test at the Simulation Test Center, the upgrade person-in-charge of the Ticketing Center of the Passenger Service Department submits the 'AFC System Parameter Issuance and Software Upgrade Application Form' (Appendix C of the AFC System Operational Parameter Issuance and Software Upgrade Management Regulations) and the simulation test records. The head of the Ticketing Center of the Passenger Service Department approves the AFC system software upgrade.","For AFC system software upgrades, Level II software upgrades are proposed by the production system software requirement department. After review and joint signature by relevant units and departments, they are reported to the Quality and Safety Department for approval before implementation.","Single-station testing: After passing the simulation test at the Simulation Test Center, the upgrade person-in-charge of the Ticketing Center of the Passenger Service Department submits the 'AFC System Parameter Issuance and Software Upgrade Application Form' (Appendix C of the AFC System Operational Parameter Issuance and Software Upgrade Management Regulations) and the simulation test records. The head of the Ticketing Center of the Passenger Service Department approves the AFC system software upgrade.","The Passenger Service Department is responsible for the approval and issuance of single-station testing, joint integration testing, and line-wide promotion of AFC system parameter issuance and software upgrades.","Before line-wide promotion, the upgrade person-in-charge of the Ticketing Center of the Passenger Service Department submits the 'AFC System Parameter Issuance and Software Upgrade Application Form (Line-wide)' and all test records. Operator information and blacklist parameters are approved by the head of the Ticketing Center of the Passenger Service Department.","['Single-station testing is conducted only after passing the test at the Simulation Test Center.', 'The upgrade person-in-charge of the Ticketing Center (Passenger Service Department) submits the application form and test records.', 'The upgrade application must comply with Appendix C of the AFC System Operational Parameter Issuance and Software Upgrade Management Regulations.', 'The head of the Ticketing Center of the Passenger Service Department approves the AFC system software upgrade for single-station testing.']","['Level II software upgrades are proposed by the production system software requirement department.', 'Level II upgrades require review and joint signatures by relevant units and departments.', 'The Quality and Safety Department approves Level II software upgrades before implementation.']","['Single-station testing is conducted only after passing the test at the Simulation Test Center.', 'The upgrade person-in-charge of the Ticketing Center (Passenger Service Department) submits the application form and test records.', 'The upgrade application must comply with Appendix C of the AFC System Operational Parameter Issuance and Software Upgrade Management Regulations.', 'The head of the Ticketing Center of the Passenger Service Department approves the AFC system software upgrade for single-station testing.']","['The Passenger Service Department oversees the approval process for all stages including single-station, joint testing, and line-wide promotion.', 'The Passenger Service Department is responsible for issuing the parameters and software at all stages.']","['A specific line-wide application form and all test records are required before full promotion.', 'Operator information parameters for full promotion are approved by the head of the Ticketing Center.', 'Blacklist parameters for full promotion are approved by the head of the Ticketing Center.']","[['Single-station testing can proceed even if the simulation test at the Simulation Test Center has not passed.', 'Simulation testing is not a prerequisite for initiating single-station testing procedures.', 'Single-station testing is authorized to start simultaneously with the simulation test process.'], ['The Simulation Test Center staff, rather than the Ticketing Center upgrade person-in-charge, submits the application.', 'The upgrade person-in-charge of the Ticketing Center is restricted from submitting any software upgrade applications.', 'The maintenance department head is responsible for submitting the application form and records for single-station testing.'], ['The upgrade application for single-station testing must use Appendix B instead of Appendix C.', 'There is no requirement to follow any specific Appendix for the single-station testing application.', 'Appendix C is strictly reserved for line-wide promotion and cannot be used for single-station testing.'], ['The head of the Quality and Safety Department is the only authority allowed to approve single-station software upgrades.', 'Approval for single-station testing upgrades must be granted by the ACC system engineer, not the Ticketing Center head.', 'The head of the Ticketing Center only reviews the application and does not have approval authority for software upgrades.']]"
"In general, except for emergency repairs, Level II hot work is prohibited during operation periods.","In principle, A1, A2, A3, and C1 class construction works are not allowed to be carried out during operation hours.","In general, except for emergency repairs, Level II hot work is prohibited during operation periods.","Stations shall conduct daily fire inspections during operation periods strictly in accordance with regulations, and the fire inspection records shall be filled out and signed by the station duty master. During operation periods, fire inspections shall be conducted at least every two hours; additional inspections must be conducted once after operation ends and once before operation begins.",Level I hot work is strictly prohibited within the main line area during operation periods.,"['Level II hot work is prohibited during operation periods.', 'Emergency repairs are an exception to the prohibition of Level II hot work during operation.']","['A1, A2, and A3 class construction works are not allowed during operation hours.', 'C1 class construction work is not allowed during operation hours.']","['Level II hot work is prohibited during operation periods.', 'Emergency repairs are an exception to the prohibition of Level II hot work during operation.']","['Stations must conduct daily fire inspections during operation periods.', 'The station duty master is responsible for fire inspection records.', 'Fire inspections occur at least every two hours during operation.', 'Fire inspections are required once after operation ends and once before it begins.']",['Level I hot work is strictly prohibited in the main line area during operation.'],"[['Level II hot work is permitted at any time during operation periods without restriction.', 'Level II hot work is only prohibited during non-operation hours, while it is allowed during operation.', 'There are no regulations prohibiting Level II hot work during the operation period of the metro.'], ['Emergency repairs are not exempt and are also prohibited from involving Level II hot work during operation.', 'Routine maintenance, rather than emergency repairs, is the only exception allowed for Level II hot work during operation.', 'Level II hot work is strictly forbidden during operation even if it is for emergency repair purposes.']]"
"(4.1 Risk Sources - Communication Specialty) only includes transmission system and wireless system failures caused by system vulnerabilities, computer viruses, network attacks, network intrusions, etc.","(4.1 Risk Sources - Communication Specialty) includes failures of the transmission system, wireless system, and OA system caused by system vulnerabilities, computer viruses, network attacks, network intrusions, etc., as well as the broadcasting of sensitive or prohibited information by PIS, DAS, and PA systems due to the same causes.","(4.1 Risk Sources - Communication Specialty) only includes transmission system and wireless system failures caused by system vulnerabilities, computer viruses, network attacks, network intrusions, etc.","(4.2 Risk Sources - AFC Specialty Risk Analysis) System vulnerabilities, computer viruses, network attacks, illegal operations, etc., affecting passenger ticket purchase and inspection or leading to data tampering, leakage, or loss; virus propagation leading to infections in other computers on the network, causing a large-scale paralysis of the AFC network system; hardware failure or human sabotage leading to equipment damage or network failure, making the AFC system unavailable.","Power Supply Specialty Risk Analysis: System vulnerabilities, computer viruses, network attacks, network intrusions, etc., leading to power supply system failures and affecting train operations.","['The risk sources for the Communication Specialty are identified in section 4.1.', 'The identified causes include system vulnerabilities, computer viruses, network attacks, and network intrusions.', 'The scope of impact is limited only to transmission system failures.', 'The scope of impact is limited only to wireless system failures.']","['The risk sources in section 4.1 include the OA system in addition to transmission and wireless systems.', 'The risk sources also include PIS, DAS, and broadcasting systems playing sensitive or illegal information.', 'The same causes (vulnerabilities, viruses, etc.) lead to these additional risks.']","['The risk sources for the Communication Specialty are identified in section 4.1.', 'The identified causes include system vulnerabilities, computer viruses, network attacks, and network intrusions.', 'The scope of impact is limited only to transmission system failures.', 'The scope of impact is limited only to wireless system failures.']","['AFC Specialty risk analysis involves vulnerabilities, viruses, and illegal operations.', 'Risks include impact on ticket purchase, data tampering, and large-scale network paralysis.', 'Hardware failure or sabotage can make the AFC system unavailable.']","['Power supply risks involve vulnerabilities and network attacks.', 'These risks lead to power system failures that affect train operations.']","[['The risk sources for the Communication Specialty are defined in **section 5.3** instead of section 4.1.', 'Section 4.1 is dedicated to **AFC Specialty risks**, and communication risks are not mentioned there.', 'There are **no specific risk sources** identified for the Communication Specialty in the current document.'], ['The identified causes exclude digital threats and focus **only on physical equipment aging**.', 'Network attacks and intrusions are **not considered** primary risk sources for communication systems.', 'The causes are limited to **natural disasters** rather than vulnerabilities or computer viruses.'], [""The scope of impact **includes the OA system**, making the 'only transmission system' claim incorrect."", 'Transmission system failures are **unlikely** to be caused by network intrusions in this environment.', 'The transmission system is **completely immune** to vulnerabilities and computer viruses.'], ['The scope of impact **includes PIS and broadcasting systems**, contradicting the limitation to only wireless systems.', 'Wireless system failures are categorized as **hardware risks** rather than communication specialty risks.', 'The wireless system is **not part** of the identified scope of impact for communication vulnerabilities.']]"
"The General Office carries out emergency news release and public opinion guidance for network security emergencies. Without approval, relevant units shall not release relevant information on their own.",The on-site emergency command center is responsible for on-site emergency response command according to the plan; it is also responsible for handling media interviews and ensuring public opinion control and external information release.,"The General Office carries out emergency news release and public opinion guidance for network security emergencies. Without approval, relevant units shall not release relevant information on their own.","The General Office is responsible for public opinion response, public opinion guidance, and external information release, as well as logistics support during the emergency handling of network security incidents, and coordinating efforts to maintain stability.","Article 1: This emergency plan is formulated to effectively prevent and handle network emergencies, improve the capability and level of prevention and control, reduce or eliminate the hazards and impacts of emergencies, and ensure the network and information security of the Group.","['The General Office carries out emergency news release for network security emergencies.', 'The General Office carries out public opinion guidance for network security emergencies.', 'Relevant units shall not release relevant information without approval.']","['The on-site emergency command center is responsible for on-site command according to the plan.', 'The on-site command center handles media interviews.', 'The on-site command center is responsible for public opinion control and external information release.']","['The General Office carries out emergency news release for network security emergencies.', 'The General Office carries out public opinion guidance for network security emergencies.', 'Relevant units shall not release relevant information without approval.']","['The General Office handles public opinion response and guidance.', 'The General Office handles external information release.', 'The General Office provides logistics support for network security emergency handling.', 'The General Office coordinates stability maintenance.']","['This emergency plan aims to prevent and handle network emergencies.', 'This emergency plan aims to improve prevention and control capabilities.', 'This emergency plan aims to ensure group network and information security.']","[['The General Office is strictly prohibited from participating in emergency news releases for network security emergencies.', 'The Marketing Department, rather than the General Office, carries out emergency news releases for network security emergencies.', 'Emergency news releases for network security emergencies are handled by external PR firms instead of the internal General Office.'], ['The General Office does not handle public opinion guidance for network security emergencies; it only handles internal technical reports.', 'Public opinion guidance for network security emergencies is the sole responsibility of the Public Security Bureau, not the General Office.', 'The General Office is restricted from intervening in public opinion guidance during network security emergencies.'], ['Relevant units are encouraged to release information regarding network security emergencies to the public immediately without waiting for approval.', 'All departments have the autonomy to publish network security incident information without seeking prior approval from any office.', 'It is mandatory for relevant units to disclose all incident details to the media independently, regardless of official approval status.']]"
"...Point-to-point mode trains shall stop before the signal and switch to NRM mode to pass the red light at a speed limit of 30 km/h. ""When the axle counter pre-reset fails, subsequent point-to-point trains shall pass the red light at a speed limit of 60 km/h to the next station to restore normal mode.""","...Point-to-point mode trains shall stop before the signal and switch to NRM/RM mode to pass the red light at a speed limit. ""When the axle counter pre-reset fails, subsequent point-to-point mode trains shall stop before the signal and switch to NRM/RM to pass the red light at a speed limit to the next station to restore normal mode.""","...Point-to-point mode trains shall stop before the signal and switch to NRM mode to pass the red light at a speed limit of 30 km/h. ""When the axle counter pre-reset fails, subsequent point-to-point trains shall pass the red light at a speed limit of 60 km/h to the next station to restore normal mode.""","After repair personnel reach the designated train, they shall record and analyze the failure information according to the 'Signaling Equipment Failure On-site Treatment Plan'.",Signaling professionals from the maintenance unit are responsible for guiding the failure repair work and reporting the failure summary to the on-site general commander.,"['Point-to-point mode trains must stop before the signal when encountering a red light.', 'Point-to-point mode trains must switch to NRM mode to pass the red light.', 'Point-to-point mode trains are limited to 30 km/h when passing the red light in NRM mode.', 'If axle counter pre-reset fails, subsequent point-to-point trains pass the red light at a speed limit of 60 km/h.', 'These trains (after pre-reset failure) restore normal mode at the next station.']","['Point-to-point mode trains stop before the signal and switch to NRM/RM mode.', 'These trains pass the red light at a speed limit (unspecified value).', 'If axle counter pre-reset fails, subsequent point-to-point trains stop before the signal.', 'These trains switch to NRM/RM to pass the red light to the next station.']","['Point-to-point mode trains must stop before the signal when encountering a red light.', 'Point-to-point mode trains must switch to NRM mode to pass the red light.', 'Point-to-point mode trains are limited to 30 km/h when passing the red light in NRM mode.', 'If axle counter pre-reset fails, subsequent point-to-point trains pass the red light at a speed limit of 60 km/h.', 'These trains (after pre-reset failure) restore normal mode at the next station.']","['Repair personnel record failure information after reaching the train.', ""Repair personnel analyze failure information according to the 'Signaling Equipment Failure On-site Treatment Plan'.""]","['Maintenance signaling professionals guide the repair work.', 'Maintenance signaling professionals report the failure summary to the on-site general commander.']","[['Point-to-point mode trains are permitted to pass a red light without stopping first.', 'Stopping before the signal is optional for point-to-point mode trains during a red light event.', 'Point-to-point mode trains must maintain their speed rather than stopping when approaching a red light signal.'], ['Point-to-point mode trains must switch to RM mode instead of NRM mode to pass the red light.', 'Trains are strictly forbidden from switching to NRM mode when passing a red light.', 'Point-to-point mode trains must remain in Point-to-point mode while passing the red light.'], ['Point-to-point mode trains passing a red light in NRM mode are limited to 15 km/h.', 'There is no speed limit for point-to-point mode trains passing a red light in NRM mode.', 'Point-to-point mode trains are allowed to travel at 50 km/h when passing a red light in NRM mode.'], ['If axle counter pre-reset fails, subsequent point-to-point trains are restricted to 10 km/h rather than 60 km/h.', 'Subsequent trains must wait for a full reset and are not allowed to pass the red light even at 60 km/h.', 'If axle counter pre-reset fails, subsequent trains must stop and stay at the signal indefinitely.'], ['Trains must restore normal mode immediately after passing the red light rather than at the next station.', 'Normal mode cannot be restored until the train reaches the terminal station.', 'Normal mode restoration is handled by the OCC remotely and does not depend on reaching the next station.']]"
"When the water accumulation on the road outside the station entrance is about to reach the top step of the entrance and shows a continuous rising trend, the entrance shall be closed immediately.","When the water accumulation on the road outside the station entrance is about to reach the Level I flood control warning line of the entrance and shows a continuous rising trend, the entrance shall be closed immediately.","When the water accumulation on the road outside the station entrance is about to reach the top step of the entrance and shows a continuous rising trend, the entrance shall be closed immediately.","The passenger evacuation group shall, based on the incident site conditions and traffic organization adjustment requirements, promptly perform passenger organization tasks such as evacuation guidance, crowd control, ticket processing, and bus bridging at the scene, guiding passengers to evacuate from the incident site in an organized and orderly manner.","Station and track area water backflow refers to rainwater, etc., flowing into the station and track area through entrances, ventilation pavilions, transition section openings, etc., resulting in water accumulation soaking the station's public areas or overflowing the rail surface.","['Water accumulation outside the station entrance is about to reach the top step of the entrance.', 'The water level shows a continuous rising trend.', 'The entrance must be closed immediately when these conditions are met.']","['Water accumulation outside the station entrance is about to reach the Level I flood control warning line.', 'The water level shows a continuous rising trend.', 'The entrance must be closed immediately when these conditions are met.']","['Water accumulation outside the station entrance is about to reach the top step of the entrance.', 'The water level shows a continuous rising trend.', 'The entrance must be closed immediately when these conditions are met.']","['The evacuation group manages crowd control and guidance based on site needs.', 'The evacuation group handles ticketing and bus bridge logistics.', 'The evacuation group ensures an organized and orderly departure from the scene.']","['Water backflow occurs via entrances, vents, or transition openings.', 'Backflow causes flooding in public areas or submerges the rails.']","[['The closure trigger is defined by the Level I flood control warning line rather than the height of the top step.', 'The entrance should remain open until the water level reaches the designated safety warning marker, ignoring the top step position.', 'Operational protocols mandate that the official flood prevention depth indicator, not the top step, determines the closure.'], ['The entrance must be closed once the water reaches the threshold, regardless of whether there is a continuous rising trend.', 'A rising trend is not required for closure; the static water level relative to the entrance markings is the sole criterion.', 'If the water level reaches the top step, the entrance must be closed even if the water level is currently receding.'], ['Immediate closure is prohibited; staff must first install flood barriers and wait for instructions from the flood control center.', 'Instead of closing the entrance immediately, staff should focus on deploying sandbags until the Level I warning line is breached.', 'The entrance must stay open for passenger evacuation until the water actually begins to overflow into the station interior.']]"
The On-site Disposal Plan for Passenger Operation of Emergency Devices applies to the on-site emergency response by S2 line drivers when passengers operate emergency devices during mainline operations.,The On-site Disposal Plan for Passenger Operation of Emergency Devices applies to the on-site response work when passengers operate emergency devices in stations or depots.,The On-site Disposal Plan for Passenger Operation of Emergency Devices applies to the on-site emergency response by S2 line drivers when passengers operate emergency devices during mainline operations.,"When a passenger operation of an emergency device occurs, the on-site emergency team is automatically established.","When a passenger accidental injury event occurs at a station or on a train, this on-site disposal plan is activated; it is terminated after the injured passenger leaves the station on their own or is sent to a hospital.","['The plan applies to the on-site emergency response by S2 line drivers.', 'The plan applies when passengers operate emergency devices.', 'The plan applies specifically during mainline operations.']","['The plan applies to the on-site response work in stations.', 'The plan applies to the on-site response work in depots.', 'The plan applies when passengers operate emergency devices.']","['The plan applies to the on-site emergency response by S2 line drivers.', 'The plan applies when passengers operate emergency devices.', 'The plan applies specifically during mainline operations.']",['The on-site emergency team is automatically established upon the incident occurrence.'],"['The plan activates for passenger accidental injuries at stations or on trains.', 'The plan terminates when the injured passenger leaves or is hospitalized.']","[['The plan is designed for **station staff or depot personnel** to handle emergency device operations, not drivers.', 'Responsibility for handling these incidents lies with the **OCC dispatchers**, excluding drivers from the on-site response role.', 'Drivers are **prohibited** from intervening; the plan designates station security as the primary responders.'], ['The plan applies exclusively to incidents occurring in **stations or depots**, not during mainline operations.', 'This specific disposal plan is valid only for **trains parked in the depot**, not for trains in active mainline service.', 'The procedures described are for **platform-based emergencies**, whereas mainline incidents follow a separate protocol.']]"
"Regarding the on-site disposal procedure for passenger operation of emergency devices, the station duty master or the regional (deputy) station master shall arrive at the corresponding position on the platform, understand the on-site situation from the driver, and cooperate with the driver in handling the situation.","Regarding the on-site disposal procedure for passenger accidental injury events at the station (including trains stopping at the platform), the Passenger Service Department - station duty master (station master) shall arrive at the scene to organize and command all on-site posts to carry out emergency disposal.","Regarding the on-site disposal procedure for passenger operation of emergency devices, the station duty master or the regional (deputy) station master shall arrive at the corresponding position on the platform, understand the on-site situation from the driver, and cooperate with the driver in handling the situation.","When a passenger operates the door emergency unlocking device, the duty officer (traffic) shall, upon receiving the order from the traffic dispatcher, immediately notify the station duty master and the rail transit police to go to the scene.","Regarding the on-site disposal procedure for passenger operation of emergency devices, if the incident occurs in the station platform area and a passenger falls into the track area, personnel shall enter the track area to remove the person according to the traffic dispatcher's order.","['The procedure applies to the on-site disposal of passenger operation of emergency devices.', 'The station duty master or regional (deputy) station master must arrive at the corresponding platform position.', 'The master must understand the situation from the driver.', 'The master must cooperate with the driver to handle the situation.']","['The procedure applies to passenger accidental injury events at the station.', 'The procedure applies when trains stop at the platform.', 'The station duty master (station master) arrives at the scene.', 'The station duty master organizes and commands all posts for emergency disposal.']","['The procedure applies to the on-site disposal of passenger operation of emergency devices.', 'The station duty master or regional (deputy) station master must arrive at the corresponding platform position.', 'The master must understand the situation from the driver.', 'The master must cooperate with the driver to handle the situation.']","['The event involves a passenger operating the door emergency unlocking device.', 'The duty officer (traffic) receives an order from the traffic dispatcher.', 'The duty officer notifies the station duty master.', 'The duty officer notifies the rail transit police to go to the scene.']","['The procedure applies if the incident is in the station platform area.', 'The procedure applies if a passenger falls into the track area.', ""Personnel enter the track area based on the traffic dispatcher's order."", 'Personnel remove the person from the track area.']","[['The procedure applies to **passenger accidental injury events** rather than the operation of emergency devices.', 'This protocol is for **trains passing through without stopping**, not for device operations at the platform.', 'The procedure is strictly for **staff-operated** emergency tests, not passenger actions.'], ['The station duty master is required to remain in the **control room** rather than going to the platform.', 'Only **security guards**, not the station duty master, are authorized to approach the platform position.', 'The regional station master must wait at the **station entrance** instead of the platform.'], ['The master must **independently assess** the situation without consulting the driver.', 'The master relies solely on **CCTV footage** to understand the situation, bypassing the driver.', 'The driver is **prohibited** from communicating with the station master regarding the on-site situation.'], ['The master must **organize and command** the driver rather than merely cooperating.', ""The master assumes **sole decision-making authority**, replacing the driver's role in the handling process."", 'The master is responsible for **evacuating passengers immediately**, rather than assisting the driver with the device.']]"
"Emergency Command Center members: Dispatch department staff on duty, leaders in charge, deputy general manager in charge (maintenance unit), heads (deputy heads) of each department, and relevant professional management engineers.","Emergency Command Center members: Composed of the Duty Director, deputy general manager in charge (maintenance unit), and the head of the Dispatch Department.","Emergency Command Center members: Dispatch department staff on duty, leaders in charge, deputy general manager in charge (maintenance unit), heads (deputy heads) of each department, and relevant professional management engineers.","Location: Operations Control Center (OCC). General Commander: Served by the General Manager. Before arrival, the Duty Director exercises command authority; authority is handed over upon arrival.","On-site General Commander: Served by the emergency shift leader of the day or the deputy general manager in charge. Before arrival, the station master or station duty master (the highest-ranking person on-site) assumes the role; authority is handed over upon arrival.","['The Emergency Command Center includes all dispatch department staff on duty.', 'The Emergency Command Center includes leaders in charge.', 'The Emergency Command Center includes the deputy general manager in charge (maintenance unit).', 'The Emergency Command Center includes heads and deputy heads of each department.', 'The Emergency Command Center includes relevant professional management engineers.']","['The Emergency Command Center is composed of the Duty Director.', 'The Emergency Command Center includes the deputy general manager in charge (maintenance unit).', 'The Emergency Command Center includes the head of the Dispatch Department.']","['The Emergency Command Center includes all dispatch department staff on duty.', 'The Emergency Command Center includes leaders in charge.', 'The Emergency Command Center includes the deputy general manager in charge (maintenance unit).', 'The Emergency Command Center includes heads and deputy heads of each department.', 'The Emergency Command Center includes relevant professional management engineers.']","['The command center is located at the OCC.', 'The General Commander is the General Manager.', 'The Duty Director commands if the General Manager has not arrived.']","['The On-site General Commander is the daily emergency shift leader or deputy GM.', 'Before their arrival, the station master or duty master commands.']","[['The Emergency Command Center is composed strictly of the **Duty Director** rather than all dispatch staff on duty.', 'Dispatch staff on duty are excluded from the core command center; only the **Duty Director** is a member.', 'General dispatchers do not hold membership; the role is reserved for the **Duty Director** alone.'], ['Leaders in charge are not members; the command structure is limited to the **Duty Director** and specific heads.', 'The composition is restricted to the **Duty Director** and **Head of Dispatch**, excluding general leaders in charge.', ""Membership is defined by specific roles like the **Duty Director**, not broad categories like 'leaders in charge'.""], ['The deputy general manager in charge is not a member; only the **Duty Director** and **Head of Dispatch** are listed.', 'While the maintenance deputy GM is involved, the core group is led by the **Duty Director**, not the deputy GM alone.', 'The command center excludes the deputy general manager, consisting only of the **Duty Director** and department heads.'], ['Heads of each department are not members; only the **Head of the Dispatch Department** is included.', 'Membership is not open to all department heads, but specifically to the **Head of the Dispatch Department**.', 'The command center relies on the **Head of Dispatch**, excluding heads from other departments.'], ['Professional management engineers are excluded; the center is composed of the **Duty Director** and department heads.', 'Technical engineers do not form part of the command center; it is an administrative body led by the **Duty Director**.', 'The list of members ends with the **Head of Dispatch**, leaving no place for professional management engineers.']]"
