query,entail,conflict,query_atoms,entail_atoms,conflict_atoms,negs_sourse_atoms
"row311: 138,Exhibit 10.1 EMPLOYMENT AGREEMENT THIS EMPLOYMENT AGREEMENT (the “Agreement”) is made as of this 1st day of January, 2012 (the “Effective Date”), between Standard Parking Corporation, a Delaware corporation (the “Company”), and Hector O. Chevalier (the “Executive”). RECITALS A. The Company and the Executive are parties to that certain Employment Agreement dated as of March 1, 1998, as amended (the “Prior Agreement”). B. The Company desires to continue to employ the Executive, and the Executive desires to continue to be so employed, upon the terms and subject to the conditions set forth in this Agreement.","Exhibit 10.1 is an EMPLOYMENT AGREEMENT dated January 1, 2012 (the “Effective Date”), between Standard Parking Corporation, a Delaware corporation (the “Company”), and Hector O. Chevalier (the “Executive”). RECITALS A. The Company and the Executive maintain an Employment Agreement dated March 1, 1998, as amended (the “Prior Agreement”). B. The Company wishes to prolong the Executive's employment, and the Executive wishes to prolong being employed, according to the terms and conditions outlined in this Agreement.","Exhibit 10.1 EMPLOYMENT AGREEMENT THIS EMPLOYMENT AGREEMENT (the “Agreement”) is made as of this 1st day of January, 2012 (the “Effective Date”), between Standard Parking Corporation, a Delaware corporation (the “Company”), and Hector O. Chevalier (the “Executive”). RECITALS A. The Company and the Executive are not parties to that certain Employment Agreement dated as of March 1, 1998, as amended (the “Prior Agreement”). B. The Company does not desire to continue to employ the Executive, and the Executive does not desire to continue to be so employed, upon the terms and subject to the conditions set forth in this Agreement.","['Exhibit 10.1 EMPLOYMENT AGREEMENT', 'THIS EMPLOYMENT AGREEMENT (the “Agreement”) is made as of this 1st day of January, 2012 (the “Effective Date”).', 'Between Standard Parking Corporation, a Delaware corporation (the “Company”).', 'And Hector O. Chevalier (the “Executive”).', 'RECITALS', 'A. The Company and the Executive are parties to that certain Employment Agreement dated as of March 1, 1998, as amended (the “Prior Agreement”).', 'B. The Company desires to continue to employ the Executive.', 'And the Executive desires to continue to be so employed.', 'Upon the terms and subject to the conditions set forth in this Agreement.']","['Exhibit 10.1 is an EMPLOYMENT AGREEMENT dated January 1, 2012 (the “Effective Date”).', 'Between Standard Parking Corporation, a Delaware corporation (the “Company”).', 'And Hector O. Chevalier (the “Executive”).', 'RECITALS', 'A. The Company and the Executive maintain an Employment Agreement dated March 1, 1998, as amended (the “Prior Agreement”).', ""B. The Company wishes to prolong the Executive's employment."", 'And the Executive wishes to prolong being employed.', 'According to the terms and conditions outlined in this Agreement.']","['Exhibit 10.1 EMPLOYMENT AGREEMENT', 'THIS EMPLOYMENT AGREEMENT (the “Agreement”) is made as of this 1st day of January, 2012 (the “Effective Date”).', 'Between Standard Parking Corporation, a Delaware corporation (the “Company”).', 'And Hector O. Chevalier (the “Executive”).', 'RECITALS', 'A. The Company and the Executive are not parties to that certain Employment Agreement dated as of March 1, 1998, as amended (the “Prior Agreement”).', 'B. The Company does not desire to continue to employ the Executive.', 'And the Executive does not desire to continue to be so employed.', 'Upon the terms and subject to the conditions set forth in this Agreement.']","[['Exhibit 10.1 is not EMPLOYMENT AGREEMENT', 'Exhibit 10.2 EMPLOYMENT AGREEMENT', 'Exhibit 10.1 DIFFERENT AGREEMENT'], ['THIS EMPLOYMENT AGREEMENT (the “Agreement”) is not made as of this 1st day of January, 2012 (the “Effective Date”).', 'THIS EMPLOYMENT AGREEMENT (the “Agreement”) is made as of this 2nd day of January, 2012 (the “Effective Date”).', 'THIS DIFFERENT AGREEMENT (the “Agreement”) is made as of this 1st day of January, 2012 (the “Effective Date”).'], ['Between Different Corporation, a Delaware corporation (the “Company”).', 'Not between Standard Parking Corporation, a Delaware corporation (the “Company”).', 'Between Standard Parking Corporation, a California corporation (the “Company”).'], ['And Different Executive (the “Executive”).', 'Not and Hector O. Chevalier (the “Executive”).', 'And Hector O. Chevalier (the “Different”).'], ['NO RECITALS', 'CONCLUSIONS', 'No RECITALS'], ['A. The Company and the Executive are not parties to that certain Employment Agreement dated as of March 1, 1998, as amended (the “Prior Agreement”).', 'A. The Company and the Executive are parties to a different Employment Agreement dated as of March 1, 1998, as amended (the “Prior Agreement”).', 'A. No Company and the Executive are parties to that certain Employment Agreement dated as of March 1, 1998, as amended (the “Prior Agreement”).'], ['B. The Company does not desire to continue to employ the Executive.', 'B. The Company desires to discontinue employing the Executive.', 'B. A different Company desires to continue to employ the Executive.'], ['And the Executive does not desire to continue to be so employed.', 'And the Executive desires to discontinue being so employed.', 'And a different Executive desires to continue to be so employed.'], ['Upon different terms and subject to the conditions set forth in this Agreement.', 'Not upon the terms and subject to the conditions set forth in this Agreement.', 'Upon the terms and subject to the conditions set forth in a different Agreement.']]"
"If station staff discover office computers displaying abnormal information or having no network connection, they must timely disconnect the network cable and report to the electromechanical environmental dispatcher (environmental dispatch post).","Upon finding office PCs showing anomalies or lacking connectivity, station employees are required to promptly unplug the ethernet cable and notify the environmental dispatcher.","If station staff discover office computers displaying abnormal information, they must leave the network cable connected and restart the computer repeatedly.","['Station staff discover office computers displaying abnormal information or no network connection.', 'They must timely disconnect the network cable.', 'They must report to the electromechanical environmental dispatcher (environmental dispatch post).']","['Finding office PCs showing anomalies or lacking connectivity.', 'Promptly unplug the ethernet cable.', 'Notify the environmental dispatcher.']","['Leave the network cable connected.', 'Restart the computer repeatedly.', 'Do not report to the dispatcher.']","[['Station staff discover computers working perfectly.', 'Station staff discover printers not working.', 'Station staff discover lights flickering.'], ['They must leave the network cable connected.', 'They must cut the network cable.', 'They must connect more cables.'], ['They must report to the cafeteria manager.', 'They must report to the cleaning lady.', 'They must report to themselves.']]"
"The appellant surviving spouse has failed to proffer any evidence of fraud by the decedent regarding the antenuptial agreement. Hence, the Surrogate properly dismissed her notice of election as barred by the waiver of the right of election in the agreement pursuant to EPTL 5-1.1. Mangano, J. P., Bracken, Eiber, Spatt and Sullivan, JJ., concur.","The appellate court found that the surviving spouse (appellant) did not provide any evidence that the decedent committed fraud concerning the antenuptial agreement. Consequently, the Surrogate's dismissal of her notice of election was correct, as her right of election was waived in that agreement under EPTL 5-1.1. Justices Mangano, Bracken, Eiber, Spatt, and Sullivan concurred.","The appellate court found that the surviving spouse (appellant) provided overwhelming evidence that the decedent committed fraud concerning the antenuptial agreement. Consequently, the Surrogate's dismissal of her notice of election was incorrect, as her right of election was guaranteed in that agreement under EPTL 5-1.1. Justices Mangano, Bracken, Eiber, Spatt, and Sullivan dissented.","['The appellant surviving spouse failed to proffer evidence of fraud.', 'The fraud allegation concerned the decedent and the antenuptial agreement.', 'The Surrogate properly dismissed the notice of election.', 'The dismissal was because the notice was barred by a waiver.', 'The waiver of the right of election was in the agreement pursuant to EPTL 5-1.1.', 'Mangano, Bracken, Eiber, Spatt and Sullivan concurred.']","['Spouse offered no evidence of fraud regarding antenuptial agreement.', 'Surrogate correctly dismissed election notice.', 'Notice barred by waiver in agreement.', 'Waiver pursuant to EPTL 5-1.1.', 'Justices concurred.']","['Spouse offered abundant evidence of fraud regarding antenuptial agreement.', 'Surrogate incorrectly dismissed election notice.', 'Notice guaranteed by agreement.', 'No waiver exists.', 'Justices dissented.']","[['The spouse did NOT fail to proffer evidence of fraud.', 'She proffered significant evidence.', 'Fraud was proven.'], ['The Surrogate did NOT properly dismiss the notice.', 'The dismissal was improper.', 'The dismissal was void.'], ['The notice was NOT barred by waiver.', 'The waiver is invalid.', 'There was no waiver.'], ['The agreement was NOT pursuant to EPTL 5-1.1.', 'It was pursuant to common law.', 'It was illegal.'], ['The justices did NOT concur.', 'They dissented.', 'They abstained.']]"
"The Landlord shall be responsible for all structural repairs to the Building, including the roof, foundation, and exterior walls.",The owner has to pay to fix the main parts of the building like the roof and walls.,"The Tenant shall be responsible for all repairs to the Building, including structural repairs to the roof and foundation.","['The Landlord shall be responsible for all structural repairs to the Building.', 'This includes the roof, foundation, and exterior walls.']","['Landlord fixes structure.', 'Includes roof and walls.']","['The Tenant shall be responsible for all repairs.', 'Tenant covers structural repairs including roof and foundation.']","[['The Landlord is not responsible for structural repairs.', 'Tenant assumes structural responsibility.', 'Landlord is exempt.'], ['The Tenant is responsible for the roof and foundation.', ""Structural repairs are not the Landlord's duty."", 'Tenant bears the cost.']]"
"The station's flood prevention risks include easy water accumulation in the underground fire pump room, no ceiling in entrance 1 skybridge corridor posing water gathering hazard, entrance 2 near residential area, and west side near fields with higher terrain less prone to flooding. Flood materials list: 235 flood sandbags in cabinets/rooms, 2 explosion-proof portable searchlights in control room, 10 raincoats in room 3, 5 rain boots in room 3, 30 plastic films in cabinets/room 1, 15 caution wet floor signs at center/triangle/platform, 30 stainless barriers at platforms/hall/triangle, 50 pull belts at platforms/hall/triangle, 3 handheld megaphones in control/room/hall, 5 anti-slip mats in triangle, 70 water-absorbing expansion bags in cabinets/room 1, 50 empty sandbags in cabinets/room 1.","Flood risks at station: pump room accumulates water, skybridge lacks ceiling for water hazard, entrance 2 by residences, west high terrain low flood; materials: 235 sandbags, 2 lights, 10 coats, 5 boots, 30 films, 15 signs, 30 barriers, 50 belts, 3 megaphones, 5 mats, 70 expansion bags, 50 empties in specified locations.","Station flood risks exclude pump room accumulation, skybridge has ceiling no hazard, entrance 2 far from residences, west low terrain high flood; materials: 100 sandbags, 5 lights, 20 coats, 10 boots, 10 films, 5 signs, 10 barriers, 20 belts, 1 megaphone, 10 mats, 20 expansion, 100 empties in different spots.","[""The station's flood prevention risks include easy water accumulation in the underground fire pump room."", ""There is no ceiling in entrance 1 skybridge corridor posing water gathering hazard."", ""Entrance 2 is near residential area."", ""The west side is near fields with higher terrain less prone to flooding."", ""Flood materials include 235 flood sandbags in cabinets and rooms."", ""There are 2 explosion-proof portable searchlights in control room."", ""There are 10 raincoats in room 3."", ""There are 5 rain boots in room 3."", ""There are 30 plastic films in cabinets and room 1."", ""There are 15 caution wet floor signs at center, triangle, and platform."", ""There are 30 stainless barriers at platforms, hall, and triangle."", ""There are 50 pull belts at platforms, hall, and triangle."", ""There are 3 handheld megaphones in control, room, and hall."", ""There are 5 anti-slip mats in triangle."", ""There are 70 water-absorbing expansion bags in cabinets and room 1."", ""There are 50 empty sandbags in cabinets and room 1.""]","[""Flood risks at station include pump room water accumulation."", ""Skybridge lacks ceiling for water hazard."", ""Entrance 2 is by residences."", ""West high terrain has low flood."", ""Materials include 235 sandbags."", ""2 lights are included."", ""10 coats are included."", ""5 boots are included."", ""30 films are included."", ""15 signs are included."", ""30 barriers are included."", ""50 belts are included."", ""3 megaphones are included."", ""5 mats are included."", ""70 expansion bags are included."", ""50 empties are included in specified locations.""]","[""Station flood risks exclude pump room accumulation."", ""Skybridge has ceiling no hazard."", ""Entrance 2 is far from residences."", ""West low terrain has high flood."", ""Materials include 100 sandbags."", ""5 lights are included."", ""20 coats are included."", ""10 boots are included."", ""10 films are included."", ""5 signs are included."", ""10 barriers are included."", ""20 belts are included."", ""1 megaphone is included."", ""10 mats are included."", ""20 expansion are included."", ""100 empties are included in different spots.""]","[[""No easy water accumulation in underground pump room for risks."", ""Pump exclusions from accumulations in risks."", ""Room avoids water builds in hazards.""], [""Ceiling exists in entrance 1 skybridge no hazard."", ""Skybridge covered sans gathering risks."", ""Corridor topped without water threats.""], [""Entrance 2 is not near residential area."", ""2 distant from homes in exclusions."", ""Portal far sans residences.""], [""West side not near fields or higher terrain less flooding."", ""West low with high floods in risks."", ""Side depressed prone to inundations.""], [""No 235 flood sandbags in materials."", ""Only 100 sandbags included differently."", ""Bags limited to hundred in spots.""], [""No 2 searchlights in control."", ""5 lights provided in varied places."", ""Illuminators quintupled sans specifies.""], [""No 10 raincoats in room 3."", ""20 coats stocked elsewhere."", ""Garments doubled in diffs.""], [""No 5 rain boots in room 3."", ""10 boots in other locations."", ""Footwear tenfold varied.""], [""No 30 plastic films in cabinets/room 1."", ""10 films in different spots."", ""Sheets reduced to ten elsewhere.""], [""No 15 caution signs at center/triangle/platform."", ""5 signs in alternate areas."", ""Warnings quint in diffs.""], [""No 30 stainless barriers at platforms/hall/triangle."", ""10 barriers placed differently."", ""Rails ten in varied.""], [""No 50 pull belts at platforms/hall/triangle."", ""20 belts in other spots."", ""Straps twenty elsewhere.""], [""No 3 handheld megaphones in control/room/hall."", ""1 megaphone in diff locations."", ""Amps single varied.""], [""No 5 anti-slip mats in triangle."", ""10 mats in different places."", ""Pads tenfold elsewhere.""], [""No 70 expansion bags in cabinets/room 1."", ""20 expansions in alternate."", ""Swellers twenty in diffs.""], [""No 50 empty sandbags in cabinets/room 1."", ""100 empties in varied spots."", ""Voids hundred elsewhere.""]]"
"Before any software upgrade, the maintenance department must perform a full backup of the current production database and configuration files, store the backup in the off-site disaster recovery center, and verify the integrity of the backup through restoration testing on the test environment within 24 hours prior to the upgrade window.","Prior to AFC software upgrades, the maintenance team is required to create and validate complete backups of production data and configurations, with off-site storage and pre-upgrade restoration testing.","Software upgrades can proceed without any database or configuration backups, and no verification or off-site storage is needed.","[""Before any software upgrade, the maintenance department must perform a full backup of the current production database and configuration files."", ""The maintenance department must store the backup in the off-site disaster recovery center."", ""The maintenance department must verify the integrity of the backup through restoration testing on the test environment."", ""The verification must occur within 24 hours prior to the upgrade window.""]","[""The maintenance department is obligated to create complete backups of production database and configurations before upgrades."", ""Backups are stored at an off-site disaster recovery facility."", ""Backup integrity is confirmed via restoration tests in a non-production environment."", ""These tests are conducted no more than 24 hours before the scheduled upgrade.""]","[""The maintenance department is not required to perform any backup before software upgrades."", ""Backups, if taken, are stored only on-site."", ""No integrity verification or restoration testing is performed."", ""Testing can be done after the upgrade window.""]","[[""The maintenance department is not required to perform a full backup before any software upgrade."", ""The maintenance department may perform only partial backups."", ""The maintenance department can skip backups entirely.""], [""The maintenance department does not need to store the backup in the off-site disaster recovery center."", ""The maintenance department stores backups only on local servers."", ""The maintenance department may delete backups immediately.""], [""The maintenance department does not need to verify the integrity of the backup through restoration testing."", ""The maintenance department may verify integrity without testing."", ""The maintenance department can assume integrity without verification.""], [""The verification can occur more than 24 hours prior to the upgrade window."", ""The verification is not limited to within 24 hours prior to the upgrade window."", ""The verification may be postponed until after the upgrade.""]]"
The parties hereby agree that this Agreement creates a partnership and joint venture for all legal and tax purposes.,This deal sets up a legal partnership and joint venture between the two sides.,The relationship of the parties is that of independent contractors; nothing herein shall be construed as creating a partnership or joint venture.,['The parties hereby agree that this Agreement creates a partnership and joint venture for all legal and tax purposes.'],['This deal sets up a legal partnership and joint venture between the two sides.'],['The relationship of the parties is that of independent contractors; nothing herein shall be construed as creating a partnership or joint venture.'],"[['This Agreement does not create a partnership.', 'No joint venture is established.', 'Parties are independent contractors.']]"
"The Station Attendant must immediately report to the Duty Officer (Traffic) upon discovery, prepare for train evacuation, assist the Station Master in evacuation, and display the 'All Clear' signal to the driver upon completion.","Station Attendants report the incident, help with evacuation, and signal the driver when the train is empty.","The Station Attendant should report to the cleaning staff, prevent passengers from evacuating, and never show any signal to the driver.","[""The Station Attendant must immediately report to the Duty Officer (Traffic) upon discovery."", ""The Station Attendant must prepare for train evacuation."", ""The Station Attendant must assist the Station Master in evacuation."", ""The Station Attendant must display the 'All Clear' signal to the driver upon completion.""]","[""Station Attendants report the incident."", ""Station Attendants help with evacuation."", ""Station Attendants signal the driver when the train is empty.""]","[""The Station Attendant should report to the cleaning staff."", ""The Station Attendant must prevent passengers from evacuating."", ""The Station Attendant must never show any signal to the driver.""]","[[""The Station Attendant should report to the cleaning staff."", ""The Station Attendant must not report to the Duty Officer."", ""The Station Attendant keeps the discovery secret.""], [""The Station Attendant must prevent passengers from evacuating."", ""The Station Attendant should ignore evacuation preparations."", ""The Station Attendant prepares for boarding instead.""], [""The Station Attendant must hinder the Station Master during evacuation."", ""The Station Attendant should not assist with evacuation."", ""The Station Attendant works alone.""], [""The Station Attendant must never show any signal to the driver."", ""The Station Attendant displays a 'Stop' signal instead."", ""The Station Attendant leaves without signaling.""]]"
"According to the risk analysis, passengers engaging in crowd disturbances, fighting, or looting on a train can affect vehicle operation and easily cause personnel injuries, section stops, passenger panic, and damage to train equipment.",Security incidents occurring inside the train carriages pose threats to both physical safety and the continuity of transit operations.,"Incidents such as fighting or looting on the train are considered harmless annoyances that do not affect vehicle operation, nor do they pose any risk of injury, delays, or equipment damage.","[""Passengers engaging in crowd disturbances, fighting, or looting on a train can affect vehicle operation."", ""These incidents can easily cause personnel injuries."", ""These incidents can cause section stops."", ""These incidents can cause passenger panic."", ""These incidents can cause damage to train equipment.""]","[""Security incidents occurring inside the train carriages pose threats to physical safety."", ""These incidents pose threats to the continuity of transit operations.""]","[""Incidents such as fighting or looting on the train are considered harmless annoyances."", ""These incidents do not affect vehicle operation."", ""These incidents do not pose any risk of injury, delays, or equipment damage.""]","[[""Disruptive behavior on trains has no impact on vehicle operation."", ""Fighting on trains improves vehicle operation speed."", ""Crowd disturbances are beneficial for train scheduling.""], [""These incidents are guaranteed to result in zero injuries."", ""Fighting on the train is considered a safe activity."", ""Such incidents do not pose any risk of injury.""], [""These incidents ensure the train never stops in a section."", ""Looting prevents section stops."", ""Operational delays are impossible during these incidents.""], [""These incidents make passengers feel calm and secure."", ""Fighting causes passenger happiness."", ""Panic is impossible during a riot.""], [""These incidents strictly protect train equipment from harm."", ""Looting improves the condition of train equipment."", ""Equipment damage is not a risk during these incidents.""]]"
The Contractor is self-insured and not required to maintain a separate liability policy.,The contractor covers their own risks and doesn't need an insurance policy.,Contractor must maintain commercial general liability insurance with a limit of not less than $2 million.,['The Contractor is self-insured and not required to maintain a separate liability policy.'],"[""The contractor covers their own risks and doesn't need an insurance policy.""]",['Contractor must maintain commercial general liability insurance with a limit of not less than $2 million.'],"[['The Contractor is required to maintain a separate liability policy.', 'Self-insurance is not permitted under this Agreement.', 'Proof of commercial general liability insurance must be provided.']]"
