Original_Text,Conflict1 (Contradiction),Conflict2 (Contradiction),Paraphrase_Structure_1 (Entailment),Paraphrase_Structure_2 (Entailment),Original_Text_atoms,Conflict1 (Contradiction)_atoms,Conflict2 (Contradiction)_atoms,Paraphrase_Structure_1 (Entailment)_atoms,Paraphrase_Structure_2 (Entailment)_atoms,Neg_Original_Text_atoms
"Under existing law, the Public Utilities Commission has regulatory authority over public utilities, including electrical corporations. This bill would require the commission to establish a program to provide incentives to residential and commercial customers for the installation of energy storage systems. The bill would limit the total amount of incentives to $500,000,000 and would require the commission to ensure that the program is funded solely through a charge on the distribution of electricity, without impacting the state's General Fund.,""Under existing law, the Public Utilities Commission has regulatory authority over public utilities, including electrical corporations. This bill would prohibit the commission from establishing any incentive programs for energy storage systems. Furthermore, it mandates that any funding for energy initiatives must be drawn directly from the state's General Fund, explicitly forbidding the use of charges on the distribution of electricity for such purposes."","""",""The Public Utilities Commission regulates power companies. This bill makes them create a reward program for homes and businesses that install energy storage. The rewards are capped at $500 million and must be paid for by a fee on electricity distribution, not the state budget."","""",""['PUC regulates electrical corporations.', 'Commission must establish energy storage incentive program.', 'Incentive cap is $500 million.', 'Funding source is electricity distribution charge.', 'General Fund is not impacted.']"",""['Commission is prohibited from establishing incentives.', 'Funding must come from General Fund.', 'Distribution charges are forbidden.']"","""",""['PUC controls utilities.', 'New program for battery incentives.', 'Max $500m funding.', 'Paid by electric fees.']"","""",""[['No incentive program allowed.', 'Commission cannot incentivize storage.'], ['Funding comes from General Fund.', 'State budget pays for it.'], ['Distribution charge is banned.', 'Ratepayers do not pay.']]""",,,,,,,,,,[]
"Authorizes the Secretary to award grants to eligible entities to educate cancer patients and their families about medical techniques to reduce and prevent pain, survivorship care and support programs, and related community resources.","Forbids the Secretary to award grants to eligible entities to educate cancer patients and their families about medical techniques to reduce and prevent pain, survivorship care and support programs, and related community resources.","Authorizes the President to award loans to ineligible entities to educate healthy patients and their families about experimental techniques to increase pain, survivorship care and marketing programs, and related community resources.","Empowers the Secretary to grant funds to qualified entities for educating cancer patients and families on pain reduction techniques, community resources, and survivorship support.","The Secretary is authorized to provide grants to eligible organizations for the purpose of educating cancer patients and their families regarding pain prevention/reduction, survivorship care, and community support resources.","[""The Act authorizes the Secretary to award grants to eligible entities."", ""The grants are to educate cancer patients and their families about medical techniques to reduce and prevent pain."", ""The grants are to educate cancer patients and their families about survivorship care and support programs."", ""The grants are to educate cancer patients and their families about related community resources.""]","[""The Act forbids the Secretary to award grants to eligible entities."", ""The prohibition applies to educating cancer patients and their families about medical techniques to reduce and prevent pain."", ""The prohibition applies to educating cancer patients and their families about survivorship care and support programs."", ""The prohibition applies to educating cancer patients and their families about related community resources.""]","[""The Act authorizes the President to award loans to ineligible entities."", ""The loans are to educate healthy patients and their families about experimental techniques to increase pain."", ""The loans are to educate healthy patients and their families about survivorship care and marketing programs."", ""The loans are to educate healthy patients and their families about related community resources.""]","[""The Act empowers the Secretary to grant funds to qualified entities."", ""The funds are for educating cancer patients and families on pain reduction techniques."", ""The funds are for educating cancer patients and families on community resources and survivorship support.""]","[""The Secretary is authorized to provide grants to eligible organizations."", ""The purpose is educating cancer patients and their families regarding pain prevention/reduction."", ""The purpose is educating cancer patients and their families regarding survivorship care and community support resources.""]","[[""The Act prohibits the Secretary from awarding grants to eligible entities."", ""The Act authorizes the Secretary to award loans to eligible entities."", ""The Act authorizes the Governor to award grants to eligible entities.""], [""The grants are to hide from cancer patients medical techniques to reduce and prevent pain."", ""The grants are to educate cancer patients about medical techniques to increase and promote pain."", ""The grants are to educate healthy individuals about medical techniques to reduce and prevent pain.""], [""The grants are to hide from cancer patients information about survivorship care and support programs."", ""The grants are to educate cancer patients about survivorship neglect and abandonment programs."", ""The grants are to educate corporate patients about survivorship care and support programs.""], [""The grants are to hide from cancer patients information about related community resources."", ""The grants are to educate cancer patients about unrelated community resources."", ""The grants are to educate cancer patients about related international resources.""]]"
Requires the Comptroller General to study and report to the Congress on: (1) services and supplies furnished to Medicare-eligible nursing facility residents; and (2) changes made to descriptions relating to codes for medical equipment and supplies.,Requires the Comptroller General to ignore and conceal from the Congress on: (1) services and supplies furnished to Medicare-eligible nursing facility residents; and (2) changes made to descriptions relating to codes for medical equipment and supplies.,Requires the Attorney General to study and report to the President on: (1) services and supplies furnished to prison residents; and (2) changes made to descriptions relating to codes for legal equipment and supplies.,Obligates the Comptroller General to study and report to Congress regarding services/supplies for Medicare nursing facility residents and changes to medical equipment/supply codes.,The Comptroller General is required to analyze and report to Congress on medical equipment code changes and supplies/services provided to Medicare-eligible residents in nursing facilities.,"[""The Act requires the Comptroller General to study services and supplies furnished to Medicare-eligible nursing facility residents."", ""The Act requires the Comptroller General to study changes made to descriptions relating to codes for medical equipment and supplies."", ""The Act requires the Comptroller General to report to the Congress on the study results.""]","[""The Act requires the Comptroller General to ignore services and supplies furnished to Medicare-eligible nursing facility residents."", ""The Act requires the Comptroller General to conceal from the Congress on services and supplies furnished to Medicare-eligible nursing facility residents."", ""The Act requires the Comptroller General to ignore changes made to descriptions relating to codes for medical equipment and supplies."", ""The Act requires the Comptroller General to conceal from the Congress on changes made to descriptions relating to codes for medical equipment and supplies.""]","[""The Act requires the Attorney General to study services and supplies furnished to prison residents."", ""The Act requires the Attorney General to study changes made to descriptions relating to codes for legal equipment and supplies."", ""The Act requires the Attorney General to report to the President on the study results.""]","[""The Act obligates the Comptroller General to study and report to Congress regarding services and supplies for Medicare nursing facility residents."", ""The Act obligates the Comptroller General to study and report to Congress regarding changes to medical equipment and supply codes.""]","[""The Comptroller General is required to analyze and report to Congress on medical equipment code changes."", ""The Comptroller General is required to analyze and report to Congress on supplies and services provided to Medicare-eligible residents in nursing facilities.""]","[[""The Act prohibits the Comptroller General to study services and supplies furnished to Medicare-eligible nursing facility residents."", ""The Act requires the Secretary of State to study services and supplies furnished to Medicare-eligible nursing facility residents."", ""The Act requires the Comptroller General to study services and supplies furnished to private-pay nursing facility residents.""], [""The Act prohibits the Comptroller General to study changes made to descriptions relating to codes."", ""The Act requires the Comptroller General to study changes made to descriptions relating to codes for food and clothing."", ""The Act requires the Governor to study changes made to descriptions relating to codes for medical equipment.""], [""The Act prohibits the Comptroller General to report to the Congress on the study results."", ""The Act requires the Comptroller General to report to the President on the study results."", ""The Act requires the Comptroller General to hide the study results from the Congress.""]]"
Amends the Violent Crime Control and Law Enforcement Act of 1994 to make a compensating reduction of the authorization of appropriations from Violent Offender Incarceration and Truth in Sentencing Incentive Grants.,Amends the Violent Crime Control and Law Enforcement Act of 1994 to make a compensating increase of the authorization of appropriations from Violent Offender Incarceration and Truth in Sentencing Incentive Grants.,Amends the Peaceful Crime Control and Law Enforcement Act of 1994 to make a compensating reduction of the authorization of appropriations from Non-Violent Offender Incarceration and Truth in Sentencing Incentive Grants.,Modifies the Violent Crime Control and Law Enforcement Act of 1994 to reduce authorized appropriations for Truth in Sentencing and Violent Offender Incarceration grants.,"Updates the 1994 Violent Crime Control and Law Enforcement Act, reducing funding authorization for Violent Offender Incarceration and Truth in Sentencing Incentive Grants.","[""The Violent Crime Control and Law Enforcement Act of 1994 is amended to make a compensating reduction of the authorization of appropriations."", ""The reduction is from Violent Offender Incarceration and Truth in Sentencing Incentive Grants.""]","[""The Violent Crime Control and Law Enforcement Act of 1994 is amended to make a compensating increase of the authorization of appropriations."", ""The increase is for Violent Offender Incarceration and Truth in Sentencing Incentive Grants.""]","[""The Peaceful Crime Control and Law Enforcement Act of 1994 is amended to make a compensating reduction of the authorization of appropriations."", ""The reduction is from Non-Violent Offender Incarceration and Truth in Sentencing Incentive Grants.""]","[""The legislation modifies the Violent Crime Control and Law Enforcement Act of 1994 to reduce authorized appropriations."", ""The reduction applies to Truth in Sentencing and Violent Offender Incarceration grants.""]","[""The legislation updates the 1994 Violent Crime Control and Law Enforcement Act."", ""The legislation reduces funding authorization for Violent Offender Incarceration and Truth in Sentencing Incentive Grants.""]","[[""The Violent Crime Control and Law Enforcement Act of 1994 is amended to prohibit a compensating reduction."", ""The Violent Crime Control and Law Enforcement Act of 1994 is amended to make a compensating increase of the authorization."", ""The Clean Air Act is amended to make a compensating reduction of the authorization of appropriations.""], [""The reduction is from Violent Offender Education and Literacy Incentive Grants."", ""The reduction is prohibited from being from Violent Offender Incarceration Incentive Grants."", ""The increase is from Violent Offender Incarceration and Truth in Sentencing Incentive Grants.""]]"
Sharing login credentials with contractors is forbidden.,Giving username and password details to freelancers is permitted.,Disclosing authentication keys to external temps is acceptable.,It is prohibited to disclose sign-in info to temporary workers.,Providing account access codes to non-employees is not allowed.,"['Sharing login credentials is forbidden.', 'Target is contractors.']","['Giving username and password details is permitted.', 'Recipient is freelancers.']","['Disclosing authentication keys is acceptable.', 'Recipient is external temps.']","['Disclosing sign-in info is prohibited.', 'Target is temporary workers.']","['Providing account access codes is not allowed.', 'Recipient is non-employees.']","[['Sharing login credentials with contractors is allowed.', 'Credentials can be shared.', 'Sharing is permitted.'], ['The prohibition does not apply to contractors.', 'Contractors can have shared credentials.', 'Login sharing is acceptable.']]"
"Amends the federal judicial code to confer upon the U.S. trustee the duty to exercise the trustee's powers and authorities to prevent or remedy any negligent, reckless, or fraudulent assertion of a claim.","Amends the federal judicial code to strip from the U.S. trustee the duty to exercise the trustee's powers and authorities to prevent or remedy any negligent, reckless, or fraudulent assertion of a claim.","Amends the federal tax code to confer upon the U.S. President the duty to exercise the executive's powers and authorities to prevent or remedy any political, partisan, or biased assertion of a claim.","Modifies the federal judicial code, assigning the U.S. trustee the responsibility to use their authority to stop or fix negligent, reckless, or fraudulent claim assertions.","Revises the federal judicial code to charge the U.S. trustee with using their powers to prevent or correct any negligent, reckless, or fraudulent claims.","[""The Act amends the federal judicial code to confer upon the U.S. trustee the duty to exercise the trustee's powers and authorities to prevent or remedy any negligent assertion of a claim."", ""The Act amends the federal judicial code to confer upon the U.S. trustee the duty to exercise the trustee's powers and authorities to prevent or remedy any reckless assertion of a claim."", ""The Act amends the federal judicial code to confer upon the U.S. trustee the duty to exercise the trustee's powers and authorities to prevent or remedy any fraudulent assertion of a claim.""]","[""The Act amends the federal judicial code to strip from the U.S. trustee the duty to exercise the trustee's powers and authorities to prevent or remedy any negligent assertion of a claim."", ""The Act amends the federal judicial code to strip from the U.S. trustee the duty to exercise the trustee's powers and authorities to prevent or remedy any reckless assertion of a claim."", ""The Act amends the federal judicial code to strip from the U.S. trustee the duty to exercise the trustee's powers and authorities to prevent or remedy any fraudulent assertion of a claim.""]","[""The Act amends the federal tax code to confer upon the U.S. President the duty to exercise the executive's powers and authorities to prevent or remedy any political assertion of a claim."", ""The Act amends the federal tax code to confer upon the U.S. President the duty to exercise the executive's powers and authorities to prevent or remedy any partisan assertion of a claim."", ""The Act amends the federal tax code to confer upon the U.S. President the duty to exercise the executive's powers and authorities to prevent or remedy any biased assertion of a claim.""]","[""The Act modifies the federal judicial code, assigning the U.S. trustee the responsibility to use their authority to stop or fix negligent claim assertions."", ""The Act modifies the federal judicial code, assigning the U.S. trustee the responsibility to use their authority to stop or fix reckless claim assertions."", ""The Act modifies the federal judicial code, assigning the U.S. trustee the responsibility to use their authority to stop or fix fraudulent claim assertions.""]","[""The Act revises the federal judicial code to charge the U.S. trustee with using their powers to prevent or correct any negligent claims."", ""The Act revises the federal judicial code to charge the U.S. trustee with using their powers to prevent or correct any reckless claims."", ""The Act revises the federal judicial code to charge the U.S. trustee with using their powers to prevent or correct any fraudulent claims.""]",[]
"The Vehicle Code currently authorizes the Department of Motor Vehicles to issue special license plates to specific groups. This bill would require the department to issue special license plates that bear a design depicting a specific endangered species, the California Condor. The bill would require the revenue generated from the additional fees for these plates to be deposited into the Rare and Endangered Species Preservation Account, for use by the Department of Fish and Wildlife.,""The Vehicle Code currently authorizes the Department of Motor Vehicles to issue special license plates to specific groups. This bill would require the department to issue special license plates depicting the California Condor, but mandates that all revenue generated from the additional fees be deposited directly into the State Highway Account for road maintenance, explicitly excluding the Department of Fish and Wildlife from receiving any funds."","""",""The DMV can make special license plates. This bill makes them create a plate with a California Condor on it. The extra money people pay for these plates will go to the Rare and Endangered Species Preservation Account to help the Fish and Wildlife Department."","""",""['DMV must issue California Condor plates.', 'Revenue from fees is generated.', 'Revenue goes to Preservation Account.', 'Funds used by Dept of Fish and Wildlife.']"",""['Revenue goes to State Highway Account.', 'Funds used for road maintenance.', 'Dept of Fish and Wildlife excluded.']"","""",""['DMV makes Condor plates.', 'Money goes to save species.', 'Fish and Wildlife gets funds.']"","""",""[['Revenue goes to roads.', 'Highway Account gets funds.'], ['Fish and Wildlife gets nothing.', 'Conservation excluded.'], ['Funds not for preservation.', 'Infrastructure use only.']]""",,,,,,,,,,[]
Frank Buckles World War I Memorial Act - Authorizes the World War I Memorial Foundation to establish a commemorative work rededicating the District of Columbia War Memorial as a National and District of Columbia World War I Memorial.,Frank Buckles World War I Memorial Act - Forbids the World War I Memorial Foundation to establish a commemorative work rededicating the District of Columbia War Memorial as a National and District of Columbia World War I Memorial.,Frank Buckles World War II Memorial Act - Authorizes the World War II Memorial Foundation to establish a commemorative work rededicating the District of Columbia War Memorial as a National and District of Columbia World War II Memorial.,Frank Buckles World War I Memorial Act - Permits the World War I Memorial Foundation to rededicate the D.C. War Memorial as a National and D.C. World War I Memorial.,Frank Buckles World War I Memorial Act - Empowers the World War I Memorial Foundation to create a commemorative work rededicating the D.C. War Memorial as a National and District of Columbia World War I Memorial.,"[""The Frank Buckles World War I Memorial Act authorizes the World War I Memorial Foundation to establish a commemorative work."", ""The work rededicates the District of Columbia War Memorial as a National and District of Columbia World War I Memorial.""]","[""The Frank Buckles World War I Memorial Act forbids the World War I Memorial Foundation to establish a commemorative work."", ""The work would have rededicated the District of Columbia War Memorial as a National and District of Columbia World War I Memorial.""]","[""The Frank Buckles World War II Memorial Act authorizes the World War II Memorial Foundation to establish a commemorative work."", ""The work rededicates the District of Columbia War Memorial as a National and District of Columbia World War II Memorial.""]","[""The Frank Buckles World War I Memorial Act permits the World War I Memorial Foundation to rededicate the D.C. War Memorial as a National and D.C. World War I Memorial.""]","[""The Frank Buckles World War I Memorial Act empowers the World War I Memorial Foundation to create a commemorative work rededicating the D.C. War Memorial as a National and District of Columbia World War I Memorial.""]","[[""The Frank Buckles World War I Memorial Act prohibits the World War I Memorial Foundation to establish a commemorative work."", ""The Frank Buckles World War I Memorial Act authorizes the World War II Memorial Foundation to establish a commemorative work."", ""The Frank Buckles World War II Memorial Act authorizes the World War I Memorial Foundation to establish a commemorative work.""], [""The work preserves the District of Columbia War Memorial as originally constructed."", ""The work rededicates the District of Columbia War Memorial as a National and District of Columbia World War II Memorial."", ""The work rededicates the Virginia State War Memorial as a National and District of Columbia World War I Memorial.""]]"
"In the case of any systemically significant financial institution, no deduction shall be allowed under this chapter for applicable employee remuneration with respect to any covered executive to the extent that such remuneration exceeds $500,000 in any taxable year. This rule applies to the Chief Executive Officer and the 4 other highest compensated officers.","In the case of any systemically significant financial institution, a full deduction shall be allowed under this chapter for applicable employee remuneration with respect to any covered executive, regardless of whether such remuneration exceeds $500,000 in any taxable year. This rule applies only to interns, not the Chief Executive Officer.",,"Big banks can't write off tax deductions for executive pay over $500,000 a year. This applies to the CEO and the next 4 highest paid bosses.",,"['No deduction for remuneration over $500,000.', 'Applies to systemically significant institutions.', 'Applies to CEO and top 4 officers.']","['Full deduction allowed regardless of amount.', 'Applies only to interns.', 'CEO excluded.']",,"['No tax break on pay over $500k.', 'For big banks.', 'Hits CEO and top execs.']",,"[['Deduction is allowed.', 'Deduction is unlimited.'], ['Cap of $500,000 removed.', 'Remuneration fully deductible.'], ['Rule applies to interns.', 'CEO excluded.']]"
Amends the Omnibus Parks and Public Lands Management Act of 1996 to make technical amendments to provisions concerning the Presidio of San Francisco and to eliminate the requirement for reversion of lands held by the Presidio Trust to the General Services Administration (GSA).,Amends the Omnibus Parks and Public Lands Management Act of 1996 to make substantive amendments to provisions concerning the Presidio of San Francisco and to enforce the requirement for reversion of lands held by the Presidio Trust to the General Services Administration (GSA).,Amends the National Defense and Public Safety Management Act of 1996 to make technical amendments to provisions concerning the Pentagon and to eliminate the requirement for reversion of lands held by the Army to the Department of Justice.,Modifies the 1996 Omnibus Parks and Public Lands Management Act to technically amend Presidio of San Francisco provisions and remove the land reversion requirement to the GSA.,"Updates the Omnibus Parks and Public Lands Management Act of 1996, making technical adjustments for the San Francisco Presidio and abolishing the mandate for Presidio Trust land reversion to the GSA.","[""The Act amends the Omnibus Parks and Public Lands Management Act of 1996."", ""The amendment makes technical amendments to provisions concerning the Presidio of San Francisco."", ""The amendment eliminates the requirement for reversion of lands held by the Presidio Trust to the General Services Administration (GSA).""]","[""The Act amends the Omnibus Parks and Public Lands Management Act of 1996."", ""The amendment makes substantive amendments to provisions concerning the Presidio of San Francisco."", ""The amendment enforces the requirement for reversion of lands held by the Presidio Trust to the General Services Administration (GSA).""]","[""The Act amends the National Defense and Public Safety Management Act of 1996."", ""The amendment makes technical amendments to provisions concerning the Pentagon."", ""The amendment eliminates the requirement for reversion of lands held by the Army to the Department of Justice.""]","[""The Act modifies the 1996 Omnibus Parks and Public Lands Management Act to technically amend Presidio of San Francisco provisions."", ""The Act removes the land reversion requirement to the GSA.""]","[""The Act updates the Omnibus Parks and Public Lands Management Act of 1996, making technical adjustments for the San Francisco Presidio."", ""The Act abolishes the mandate for Presidio Trust land reversion to the GSA.""]","[[""The Act repeals the Omnibus Parks and Public Lands Management Act of 1996."", ""The Act ignores the Omnibus Parks and Public Lands Management Act of 1996."", ""The Act validates the Omnibus Parks and Public Lands Management Act of 1996.""], [""The amendment makes substantive amendments to provisions concerning the Presidio of San Francisco."", ""The amendment makes technical amendments to provisions concerning the Statue of Liberty."", ""The amendment prohibits technical amendments to provisions concerning the Presidio of San Francisco.""], [""The amendment requires the reversion of lands held by the Presidio Trust to the GSA."", ""The amendment eliminates the requirement for reversion of lands held by the Presidio Trust to the National Park Service."", ""The amendment eliminates the requirement for reversion of lands held by the private trust to the GSA.""]]"
